childCode	Label	parentCode	Label
!Xu (Q5508716)	Khoisan [Other] (khi) (khi, Q3361)
"Norman" Tasmanian (Q454030)	Northeastern Tasmanian (Q705806)
Aproumu Aizi (ahp) (ahp, Q3481)	Kwa (Q3343)
Apurinã (apu) (apu, Q285908)	Arawakan languages (awd) (awd, Q62675)
Aputai (apx) (apx, Q1247334)	Ili'uun (ilu) (ilu, Q1263288)
Aputai (apx) (apx, Q1247334)	Wetarese (Q3687)
Aquitanian (xaq) (xaq, Q50052)	Vasconic (Q466924)
Arabana (ard) (ard, Q350795)	Karnic (Q421557)
Arabela (arl) (arl, Q259122)	Zaparoan (Q3391)
Arabian (Q16466)	Central Semitic (Q343322)
Arabic (Central Asia) (ar-143) (ar-143, Q5094844)	Q142242 (Q142242)
Arabic (Kuwait) (ar-KW) (ar-KW, Q644893)	Gulf Arabic (afb) (afb, Q5638)
Arabic (ar) (ar, Q12260298)	Arabic (ar) (ar, Q1395)
Arabic (ar) (ar, Q1395)	Semitic [Other] (sem) (sem, Q3404)
Arabic language in Israel (Q1612772)	Arabic (ar) (ar, Q1395)
Arabic-based creole languages (Q204094)	Creoles and pidgins [Other] (crp) (crp, Q1968216)
Arafundi (Q1117062)	Arafundi (Q478370)
Arafundi (Q478370)	Papuan [Other] (paa) (paa, Q23642)
Aragonese (an) (an, Q876)	Iberian Romance (Q74953)
Aragonese (an) (an, Q876)	Occitano-Romance (Q59995)
Arakajú (Q1262715)	Cariban (Q3309)
Araki (akr) (akr, Q269988)	North and Central Vanuatu (Q307030)
Arakwal (rkw) (rkw, Q3429580)	Pama–Nyungan (Q3394)
Aramaic languages (Q9952175)	Northwest Semitic (Q16299)
Aranadan (aaf) (aaf, Q350792)	Malayalam (Q674158)
Aranama-Tamique (xrt) (xrt, Q285950)	Q5173 (Q5173)
Arandai (jbj) (jbj, Q478407)	South Bird's Head (Q756633)
Arandic (Q478407)	Pama–Nyungan (Q3394)
Araona (aro) (aro, Q95841)	Tacanan (Q311376)
Arapaho (arp) (arp, Q5641)	Arapahoan (Q215368)
Arapahoan (Q215368)	Plains Algonquian (Q215367)
Arapaso (arj) (arj, Q962735)	Tucanoan (Q78814)
Arapesh (Q478422)	Kombio-Arapeshan (Q1611504)
Ararandewára (xaj) (xaj, Q6333994)	Tupi–Guarani (Q14861)
Arasa (Q478430)	Panoan (Q154453)
Arauan languages (auf) (auf, Q62677)	Macro-Arawakan (Q1605648)
Araucanian (Q62663)	Q2016217 (Q2016217)
Araucanian (Q62663)	Q5173 (Q5173)
Arawak (arw) (arw, Q265566)	Arawakan languages (awd) (awd, Q62675)
Arawakan languages (awd) (awd, Q62675)	Q5173 (Q5173)
Arawe-Pasismanua (Q1262718)	Southwest New Britain (Q339906)
Araweté (awt) (awt, Q478453)	Tupi–Guarani (Q14861)
Arbore (arv) (arv, Q5688)	Cushitic [Other] (cus) (cus, Q3324)
Archaic Greek (Q1173222)	Q123180 (Q123180)
Archi (aqc) (aqc, Q3491)	Lezgic (Q214437)
Ardabil dialect (Q12415419)	Azerbaijani (az) (az, Q929)
Ardhamāgadhī Prākrit (pka) (pka, Q3521)	Q1311898 (Q1311898)
Are (Q1262719)	Papuan Tip (Q303910)
Are (mwc) (mwc, Q2927)	Are (Q1262719)
Are-Taupota (Q2540340)	Papuan Tip (Q303910)
Areba (aea) (aea, Q350912)	Paman (Q264065)
Arebhashe (Q478835)	Kannada (kn) (kn, Q3367)
Arem (aem) (aem, Q350792)	Chut (Q1262904)
Arequipa-La Unión Quechua (qxu) (qxu, Q1295383)	Southern Quechua (Q3680)
Arghu (Q64688)	Common Turkic (Q112602)
Argobba (agj) (agj, Q2929)	Amharic–Argobba (Q474600)
Arguni (agf) (agf, Q1247334)	South Halmahera–West New Guinea (Q252661)
Arhuaco (arh) (arh, Q264062)	Arwako (Q597280)
Arhâ (aqr) (aqr, Q479008)	New Caledonian (Q309122)
Arhö (aok) (aok, Q479008)	New Caledonian (Q309122)
Ari (aac) (aac, Q181122)	Gogodala (Q1730870)
Aribwatsa (laz) (laz, Q350210)	Austronesian [Other] (map) (map, Q4922)
Arigidi (aqg) (aqg, Q3482)	Niger-Kordofanian [Other] (nic) (nic, Q3383)
Arikapú (ark) (ark, Q344664)	Yabutian (Q1527134)
Arikara (ari) (ari, Q5653)	Caddo (cad) (cad, Q5675)
Arikem (Q321736)	Tupi languages (tup) (tup, Q3407)
Arikem (ait) (ait, Q344667)	Tupi languages (tup) (tup, Q3407)
Arin (xrn) (xrn, Q3408)	Yeniseian (Q2763)
Arizona Tewa (Q3200779)	Tanoan (Q38628)
Arma (aoh) (aoh, Q350797)	Choco (Q107561)
Armenian (hy) (hy, Q878)	Indo-European [Other] (ine) (ine, Q1986)
Armenian [family] (hyx) (hyx, Q1262723)	Indo-European [Other] (ine) (ine, Q1986)
Armenian-Qypchak (Q202750)	Kipchak–Cuman (Q437041)
Arnhem (Q258170)	Australian languages (aus) (aus, Q20514)
Aroaqui (Q9750622)	Q10144589 (Q10144589)
Aromanian (rup) (rup, Q2931)	Eastern Romance (Q14757)
Arop-Lokep (apr) (apr, Q286348)	Korap (Q643142)
Arop-Sissano (aps) (aps, Q1262724)	Schouten (Q339907)
Arosi (aia) (aia, Q286348)	Malaita-Makira (Q321747)
Arpitan (frp) (frp, Q1508)	Gallo-Rhaetian (Q9764646)
Arritinngithigh (rrt) (rrt, Q479600)	Paman (Q264065)
Arta (atz) (atz, Q350806)	Northern Luzon (Q28930)
Arta (atz) (atz, Q350806)	Q3058813 (Q3058813)
Aru (Q321736)	Central Malayo-Polynesian languages (plf) (plf, Q252667)
Aruamu (msy) (msy, Q350180)	Misegian (Q687531)
Arutani (atx) (atx, Q5660)	Arutani–Sape (Q71683)
Arutani–Sape (Q71683)	Q3364 (Q3364)
Aruá [Amazonas State] (aru) (aru, Q274622)	Arauan languages (auf) (auf, Q62677)
Aruá [Rodonia State] (arx) (arx, Q350790)	Monde (Q321748)
Arvanitika Albanian (aat) (aat, Q2934)	Albanian (sq) (sq, Q18093)
Arwako (Q597280)	Magdalenic (Q597290)
As (asz) (asz, Q286621)	Raja Ampat (Q321751)
Asaro'o (mtv) (mtv, Q350368)	Warup (Q1264508)
Asen (Q12217346)	Akan (ak) (ak, Q2802)
Ashing (Q5092717)	Bori (Q494510)
Ashkun (ask) (ask, Q2937)	Nuristani (Q16180)
Asho Chin (csh) (csh, Q750605)	Kuki-Chin (Q83241)
Ashtiani (atn) (atn, Q343659)	Southern Tati (Q4709261)
Ashurian Aramaic (Q2491599)	Eastern Aramaic (Q341032)
Asháninka (cni) (cni, Q343723)	Campa (Q502772)
Ashéninka Pajonal (cjo) (cjo, Q345048)	Campa (Q502772)
Asilulu (asl) (asl, Q1247334)	Teluk Piru Barat (Q2428349)
Aslian (Q311108)	Mon-Khmer [Other] (mkh) (mkh, Q33765)
Asmat–Kamoro (Q303140)	Trans-New Guinea languages (ngf) (ngf, Q3401)
Asmat–Mombum (Q6078749)	Trans-New Guinea languages (ngf) (ngf, Q3401)
Assamese (as) (as, Q2940)	Bengali–Assamese (Q417913)
Assangori (sjg) (sjg, Q350225)	Taman (Q340887)
Assiniboine (asb) (asb, Q259128)	Dakotan (Q415412)
Assyrian Neo-Aramaic (aii) (aii, Q2944)	Neo-Aramaic (Q241442)
Assyrian Neo-Aramaic (aii) (aii, Q2944)	Q2860 (Q2860)
Asturian (ast) (ast, Q2950)	Asturleonese (Q3539)
Asturleonese (Q3539)	West Iberian (Q137715)
Asu (asa) (asa, Q3640)	Northeast Coast Bantu (Q705784)
Asue Awyu (psa) (psa, Q1126633)	Awyu (Q1262742)
Asumboa (aua) (aua, Q481187)	Utupua-Vanikoro (Q321754)
Asunción Mixtepec Zapotec (zoo) (zoo, Q481188)	Zapotec (zap) (zap, Q1321)
Asuri (asr) (asr, Q350432)	Kherwari (Q1611436)
Ata (Q3439787)	Pele-Ata (ata) (ata, Q5651)
Ata (atm) (atm, Q481260)	Bisayan (Q158445)
Ataitan (Q481265)	Ramu (Q344280)
Atampaya (amz) (amz, Q344665)	Uradhi (urf) (urf, Q391568)
Atanque (Q319269)	Chibchan languages (cba) (cba, Q52047)
Atatláhuca Mixtec (mib) (mib, Q3209304)	Atatláhuca–San Miguel Mixtec (Q1295372)
Atatláhuca–San Miguel Mixtec (Q1295372)	Western Baja Mixtec (Q5092503)
Atauran (Q12542125)	Timoric (Q780698)
Atauran (adb) (adb, Q332733)	Papuan [Other] (paa) (paa, Q23642)
Atayal (tay) (tay, Q71576)	Atayalic (Q71661)
Atayalic (Q71661)	Northern Formosan (Q340069)
Atemble (ate) (ate, Q481305)	Sogeram (Q8675041)
Athabaskan-Eyak (Q138563)	Na-Dene languages (xnd) (xnd, Q2698)
Athapascan languages (ath) (ath, Q2747)	Athabaskan-Eyak (Q138563)
Athima (Q3439873)	Southwestern Paman (Q757143)
Athpariya (aph) (aph, Q344912)	Kiranti (Q92214)
Ati (Q4880980)	Nisoish (Q5699)
Ati (Q5092715)	North and Central Vanuatu (Q307030)
Ati (atk) (atk, Q321745)	Austronesian [Other] (map) (map, Q4922)
Ati (atk) (atk, Q321745)	Malayo-Polynesian languages (poz) (poz, Q14315)
Ati (atk) (atk, Q321745)	Philippine [Other] (phi) (phi, Q94785)
Atin (Q5092715)	North and Central Vanuatu (Q307030)
Atlantic languages (Q107594)	Atlantic-Congo languages (alv) (alv, Q77112)
Atlantic-Congo languages (alv) (alv, Q77112)	Niger-Kordofanian [Other] (nic) (nic, Q3383)
Atlas (Q312302)	Northern Berber (Q274173)
Atohwaim (aqm) (aqm, Q1173229)	Kayagar (Q638039)
Atong [Cameroon] (ato) (ato, Q3482)	Southwest Grassfields (Q757128)
Atong [India] (aot) (aot, Q564)	Koch (Q642477)
Atorada (aox) (aox, Q350793)	Q10144589 (Q10144589)
Atropatenian (Q1283615)	Median (xme) (xme, Q3646)
Atsahuaca (atc) (atc, Q481773)	Panoan (Q154453)
Atsugewi (atw) (atw, Q5671)	Palaihnihan (Q128833)
Attapady Kurumba (pkr) (pkr, Q1683518)	South Dravidian (Q1611284)
Attié (ati) (ati, Q3484)	Kwa (Q3343)
Atzingo Matlatzinca (ocu) (ocu, Q1075173)	Matlatzinca-Tlahuica (Q597291)
Au (avt) (avt, Q344660)	Torricelli (Q133383)
Aulua (aul) (aul, Q42730)	Malakula (Q674306)
Aurá (aux) (aux, Q350799)	Tupi–Guarani (Q14861)
Aushi (auh) (auh, Q287208)	Sabi (Q739607)
Aushiri (avs) (avs, Q340931)	Zaparoan (Q3391)
Austral (aut) (aut, Q266926)	Tahitic (Q3893)
Australian languages (aus) (aus, Q20514)	Q2016217 (Q2016217)
Austrian German (de-AT) (de-AT, Q30662)	German (de) (de, Q18)
Austrian German (de-AT) (de-AT, Q30662)	Standard High German (Q27935)
Austrian romance language (Q16881)	Romance [Other] (roa) (roa, Q1981)
Austric (Q78378)	Q2016217 (Q2016217)
Austro-Asiatic languages (aav) (aav, Q3319)	Austric (Q78378)
Austro-Tai (Q78381)	Q2016217 (Q2016217)
Austronesian [Other] (map) (map, Q4922)	Austric (Q78378)
Austronesian [Other] (map) (map, Q4922)	Austro-Tai (Q78381)
Austronesian [Other] (map) (map, Q4922)	Sino-Austronesian (Q752474)
Auteco (Q1691581)	Nahuatl (nah) (nah, Q1330)
Auwe (smf) (smf, Q350207)	Waris (Q1264507)
Auye (auu) (auu, Q482733)	Paniai Lakes (Q603563)
Avaric (av) (av, Q2956)	Avar–Andic (Q405540)
Avar–Andic (Q405540)	Avar–Andic–Tsezic (Q12143722)
Avar–Andic (Q405540)	Dagestanian (Q2330781)
Avar–Andic–Tsezic (Q12143722)	Dagestanian (Q2330781)
Avatime (avn) (avn, Q3479)	Kwa (Q3343)
Avatime-Nyangbo (Q1262740)	Ka-Togo (Q597279)
Avestan (ae) (ae, Q2957)	Eastern Iranian (Q39101)
Avikam (avi) (avi, Q3484)	Kwa (Q3343)
Avikam-Alladian (Q2052735)	Nyo (Q200617)
Avok (Q3443976)	Malakula (Q674306)
Avokaya (avu) (avu, Q5668)	Central Sudanic languages (csu) (csu, Q19082)
Avá-Canoeiro (avv) (avv, Q482958)	Tupi–Guarani (Q14861)
Awa [China] (vwa) (vwa, Q287464)	Wa (Q492341)
Awa-Cuaiquer (kwi) (kwi, Q260310)	Barbacoan (Q80730)
Awabakal (awk) (awk, Q344913)	Yuin-Kuric (Q383302)
Awad Bing (bcu) (bcu, Q287465)	Bel (Q81506)
Awadhi (awa) (awa, Q2957)	Eastern Hindi (Q412664)
Awan (Q340211)	Barbacoan (Q80730)
Awar (aya) (aya, Q5687)	Ottilien (Q710947)
Awbono (awh) (awh, Q344668)	Bayono–Awbono (Q242478)
Aweer (bob) (bob, Q5652)	Rendille–Boni (Q731284)
Awera (awr) (awr, Q5637)	Lakes Plain (Q647896)
Awetí (awe) (awe, Q483003)	Tupi languages (tup) (tup, Q3407)
Awiakay (Q5092722)	Arafundi (Q478370)
Awing (azo) (azo, Q3485)	Grassfields Bantu (Q75093)
Awiyaana (auy) (auy, Q287321)	Kainantu (Q1547859)
Awjilah (auj) (auj, Q5639)	Eastern Berber (Q251178)
Awjila–Sokna (Q483009)	Berber [Other] (ber) (ber, Q2544)
Awngi (awn) (awn, Q3493)	Agaw (Q5656)
Awngthim (gwm) (gwm, Q483010)	Paman (Q264065)
Awtuw (kmn) (kmn, Q350421)	Ram (Q728861)
Awu (Q4171503)	Lawoish (Q4884767)
Awun (aww) (aww, Q5636)	Yellow River (Q805181)
Awutu (afu) (afu, Q3484)	Guang (Q68400)
Awyi (auw) (auw, Q351332)	Border (Q175215)
Awyu (Q1262742)	Awyu-Ok (Q2549444)
Awyu-Ok (Q2549444)	Central and South New Guinea (Q321750)
Awyu–Dumut (Q483016)	Awyu (Q1262742)
Awyu–Ok (Q8574443)	Central West New Guinea (Q5560684)
Axamb (ahb) (ahb, Q287471)	North and Central Vanuatu (Q307030)
Ayabadhu (ayd) (ayd, Q350916)	Paman (Q264065)
Ayacucho Quechua (quy) (quy, Q3514)	Southern Quechua (Q3680)
Ayautla Mazatec (vmy) (vmy, Q1491691)	Oto-Manguean languages (omq) (omq, Q3366)
Ayautla Mazatec (vmy) (vmy, Q1491691)	Q5173 (Q5173)
Ayere–Ahan (Q75095)	Volta–Niger (Q3417)
Ayerrerenge (axe) (axe, Q1611273)	Andegerebinha (adg) (adg, Q350812)
Ayi [Papua New Guinea] (ayq) (ayq, Q5644)	Sepik (Q350877)
Ayiwo (nfl) (nfl, Q5674)	Reefs–Santa Cruz (Q730682)
Ayizo Gbe (ayb) (ayb, Q3484)	Gbe (Q66828)
Aymara (ay) (ay, Q2052661)	Aymaran (Q3301)
Aymara (ay) (ay, Q462)	Aymaran (Q3301)
Aymaran (Q3301)	Q5173 (Q5173)
Aynallu (Q79316)	Southern Oghuz (Q10661221)
Ayoman (Q1693775)	Jirajaran (Q302865)
Ayoquesco Zapotec (zaf) (zaf, Q483157)	Zapotec (zap) (zap, Q1321)
Ayoreo (ayo) (ayo, Q5663)	Zamucoan (Q304846)
Ayu (ayu) (ayu, Q3478)	Ninzic (Q703928)
Ayutla Mixtec (miy) (miy, Q1358350)	Southern Baja Mixtec (Q5725947)
Azerbaijan Talysh (Q4709297)	Talysh (tly) (tly, Q3431)
Azerbaijani (Cyrillic) (az-Cyrl) (az-Cyrl, Q10754976)	Azerbaijani (az) (az, Q929)
Azerbaijani (az) (az, Q351531)	Azerbaijani (az) (az, Q929)
Azerbaijani (az) (az, Q929)	Oghuz (Q49460)
Azerbaijani (az) (az, Q929)	Turkic languages (trk) (trk, Q3409)
Azhe (yiz) (yiz, Q483253)	Nisoish (Q5699)
Azoyú Me'phaa (tpc) (tpc, Q2555973)	Tlapanec (Q3686)
Baan (bvj) (bvj, Q351506)	Ogoni (Q235072)
Baasaari (Q11128590)	Mole-Dagbani (Q10637305)
Baasaari (Q11128590)	Oti–Volta (Q115717)
Baatonum (bba) (bba, Q3488)	Gur (Q3353)
Baazem (Q3451166)	Yukubenic (Q1690919)
Baba Malay (mbf) (mbf, Q1864279)	Malay trade and creole languages (Q65341)
Babalia Creole Arabic (bbz) (bbz, Q350418)	Arabic-based creole languages (Q204094)
Babango (bbm) (bbm, Q3481)	Budza (bja) (bja, Q304688)
Babanki (bbk) (bbk, Q3479)	Grassfields Bantu (Q75093)
Babar (Q483752)	Central Malayo-Polynesian languages (plf) (plf, Q252667)
Babatana (baa) (baa, Q287778)	Northwest Solomonic (Q649157)
Babine (bcr) (bcr, Q2786)	Athapascan languages (ath) (ath, Q2747)
Babuza (bzg) (bzg, Q71661)	Formosan languages (fox) (fox, Q71527)
Bacama (bcy) (bcy, Q5627)	Biu–Mandara (Q225154)
Bacama-Yimburu (Q3451223)	Biu–Mandara (Q225154)
Bacanese Malay (btj) (btj, Q882860)	Malay trade and creole languages (Q65341)
Bacanese Malay (btj) (btj, Q882860)	South Halmahera (Q321736)
Bactrian (xbc) (xbc, Q75665)	Eastern Iranian (Q39101)
Bada [Indonesia] (bhz) (bhz, Q484052)	Badaic (Q3144146)
Bada [Nigeria] (bau) (bau, Q1100165)	Gwak (jgk) (jgk, Q3542)
Badaga (bfq) (bfq, Q3320)	Kannada-Badaga (Q636388)
Badaic (Q3144146)	Southern Kaili-Pamona (Q3531818)
Bade (Q2058608)	West Chadic B (Q1173283)
Bade (bde) (bde, Q5623)	Bade (Q2058608)
Badeshi (bdz) (bdz, Q3302)	Indo-Iranian languages (iir) (iir, Q3351)
Badimaya (bia) (bia, Q344274)	Kartu (Q637358)
Badjiri (jbi) (jbi, Q484098)	Eastern Karnic (ekc) (ekc, Q1365313)
Badong Yao (Q4873193)	Chinese (zh) (zh, Q785)
Badui (bac) (bac, Q344988)	Sundanese-Baduy (Q11471579)
Badyara (pbp) (pbp, Q3509)	Tenda (Q321753)
Baeggu (bvd) (bvd, Q287885)	Malaita (Q188667)
Baelelea (bvc) (bvc, Q287883)	Malaita (Q188667)
Baetora (btr) (btr, Q287887)	North and Central Vanuatu (Q307030)
Bafaw-Balong (bwt) (bwt, Q3485)	Bantu [Other] (bnt) (bnt, Q3314)
Bafia (Q79978)	Northwest Bantu (Q705996)
Bafia (ksf) (ksf, Q3493)	Bantu [Other] (bnt) (bnt, Q3314)
Bafut (bfd) (bfd, Q3488)	Eastern Grassfields (Q533016)
Baga (Q274608)	Mel (Q1212235)
Baga (Q3500)	Baga (Q274608)
Baga Koga (bgo) (bgo, Q3569)	Baga (Q3500)
Baga Manduri (bmd) (bmd, Q3581)	Baga (Q3500)
Baga Pokur (bcg) (bcg, Q3117266)	Senegambian (Q170875)
Baga Pokur (bcg) (bcg, Q3487)	Naluic (Q1611375)
Baga Sitemu (bsp) (bsp, Q3646)	Baga (Q3500)
Baga Sitemu (bsp) (bsp, Q3646)	Northern Mel (Q1611453)
Baghati (Q3055723)	Mahasu Pahari (bfz) (bfz, Q673346)
Baghdad Jewish Arabic (Q482019)	Judeo-Arabic (jrb) (jrb, Q3773)
Bagheli (bfy) (bfy, Q235636)	Eastern Hindi (Q412664)
Bagirmi (Q484194)	Sara-Bagirmi (Q1611726)
Bagirmi (bmi) (bmi, Q3490)	Central Sudanic languages (csu) (csu, Q19082)
Bagirmi Fulfulde (fui) (fui, Q1100385)	Fula (ff) (ff, Q3345)
Bagri (bgq) (bgq, Q242631)	Rajasthani (raj) (raj, Q1319)
Bagusa (bqb) (bqb, Q484217)	Kwerba (Q1263513)
Bagvalal (kva) (kva, Q5663)	Avar–Andic (Q405540)
Baha Buyang (yha) (yha, Q287923)	Kra (Q102208)
Bahamas Creole English (bah) (bah, Q266922)	Creoles and pidgins, English based [Other] (cpe) (cpe, Q3198)
Bahau (bhv) (bhv, Q350203)	Mahakam (Q276166)
Bahengic (Q484252)	Hmong (hmn) (hmn, Q904077)
Bahinemo (Q484258)	Sepik Hill (Q745192)
Bahing (bhj) (bhj, Q5644)	Kiranti (Q92214)
Bahnaric (Q5630)	Eastern Mon-Khmer (Q321749)
Bahonsuai (bsu) (bsu, Q287929)	Bungku–Tolaki (Q321738)
Bahuanaic (Q3532311)	Arawakan languages (awd) (awd, Q62675)
Bai (Q3510)	Macro-Bai (Q1696384)
Bai [South Sudan] (bdj) (bdj, Q3489)	Sere (Q745305)
Bai-Maclay (Q3532375)	Yaganon (Q3532398)
Baibai (bbf) (bbf, Q5690)	Fas (Q350265)
Baikeno (bkx) (bkx, Q1120064)	Timoric (Q780698)
Baima (bqh) (bqh, Q67499)	Q164115 (Q164115)
Bainouk-Gunyaamolo (bcz) (bcz, Q3550)	Banyum (Q289247)
Bainouk-Gunyuño (bab) (bab, Q3550)	Banyum (Q289247)
Bainouk-Samik (bcb) (bcb, Q3639)	Banyum (Q289247)
Baiso (bsw) (bsw, Q5661)	Omo–Tana (Q151910)
Baissa Fali (fah) (fah, Q344663)	Benue–Congo (Q3325)
Bai–Viri (Q12246358)	Sere–Bviri (Q12246355)
Bajaw (Q215743)	Sama–Bajaw (Q216040)
Bajelani (bjm) (bjm, Q484886)	Northwestern Iranian (Q39057)
Bak (Q170817)	Northern Atlantic (Q1611095)
Baka (Q5093448)	Chadic languages (cdc) (cdc, Q3318)
Baka [Cameroon] (bkc) (bkc, Q3490)	Ngbaka (Q321749)
Baka [South Sudan] (bdh) (bdh, Q288016)	Bongo–Bagirmi (Q350504)
Bakairí (bkq) (bkq, Q5684)	Q10745173 (Q10745173)
Bakaka (bqz) (bqz, Q3485)	Bantu [Other] (bnt) (bnt, Q3314)
Bakhtiari (bqi) (bqi, Q25782)	Southern Luri (luz) (luz, Q1295274)
Baki (bki) (bki, Q1102469)	Epi (Q538240)
Bakoko (bkh) (bkh, Q3486)	Basaa (Q80973)
Bakole (kme) (kme, Q3506)	Sawabantu (Q53200)
Bakpinka (bbs) (bbs, Q351506)	Agoi-Doko-Iyoniyong (Q1262659)
Balade (Q3542028)	New Caledonian (Q309122)
Balangingi (sse) (sse, Q288053)	Sama (Q740841)
Balanta (Q3500)	Bak (Q170817)
Balanta-Ganja (bjt) (bjt, Q1935903)	Balanta (Q3500)
Balanta-Kentohe (ble) (ble, Q5678)	Balanta (Q3500)
Baldemu (bdn) (bdn, Q5628)	Giziga (Q4700455)
Bali Aga Balinese (Q12584554)	Balinese (ban) (ban, Q3307)
Bali [Nigeria] (bcn) (bcn, Q3489)	Mumuye–Yendang (Q693553)
Baliem Valley languages (Q321738)	West Trans–New Guinea (Q351226)
Baliledo (Q485091)	Sumba–Hawu (Q255265)
Balinese (ban) (ban, Q3307)	Malayo-Sumbawan (Q136381)
Balinese Malay (mhp) (mhp, Q1247344)	Malay trade and creole languages (Q65341)
Balinesic (Q11618094)	Bali–Sasak–Sumbawa (Q339604)
Bali–Sasak–Sumbawa (Q339604)	Malayo-Polynesian languages (poz) (poz, Q14315)
Bali–Vitu (Q207131)	Meso-Melanesian (Q270129)
Balkan Gagauz Turkish (bgx) (bgx, Q236039)	Western Oghuz (Q9772529)
Balkan Romance (Q8574504)	Eastern Romance (Q14757)
Balkan Romance (Q8574504)	Romance [Other] (roa) (roa, Q1981)
Balkan Romani (rmn) (rmn, Q125670)	Romany (rom) (rom, Q1320)
Baloi (biz) (biz, Q11570490)	Ngiri (Q345059)
Balti (bft) (bft, Q3308)	Ladakhi–Balti (Q1264557)
Baltic Romani (rml) (rml, Q51373)	Romany (rom) (rom, Q1320)
Baltic [Other] (bat) (bat, Q3313)	Balto-Slavic (Q14735)
Baltic [Other] (bat) (bat, Q3313)	Indo-European [Other] (ine) (ine, Q1986)
Balto-Slavic (Q14735)	Indo-European [Other] (ine) (ine, Q1986)
Baluan-Pam (blq) (blq, Q288167)	Admiralty Islands (Q270130)
Baluchi (bal) (bal, Q3304)	Northwestern Iranian (Q39057)
Bamayo (Q351489)	Malayic Dayak (xdy) (xdy, Q1247344)
Bambara (bm) (bm, Q3324)	Mande languages (dmn) (dmn, Q3368)
Bambassi (myf) (myf, Q5654)	Mao (Q135149)
Bambili-Bambui (baw) (baw, Q3488)	Niger-Kordofanian [Other] (nic) (nic, Q3383)
Bambukic (Q485345)	Gur (Q3353)
Bamenyam (bce) (bce, Q3496)	Eastern Grassfields (Q533016)
Bamileke languages (bai) (bai, Q80600)	Eastern Grassfields (Q533016)
Bamu (bcf) (bcf, Q350378)	Kiwaian (Q33844)
Bamun (bax) (bax, Q3528)	Nun (Q1365429)
Bamwe (bmg) (bmg, Q3486)	Bantu [Other] (bnt) (bnt, Q3314)
Bana (bcw) (bcw, Q5627)	Higic (Q1263228)
Banda (bad) (bad, Q80623)	Ubangian (Q3393)
Banda Malay (bpq) (bpq, Q1247344)	Eastern Indonesia Malay (Q11721336)
Banda [Indonesia] (bnd) (bnd, Q350414)	Austronesian [Other] (map) (map, Q4922)
Banda-Geser (Q1262756)	East Central Maluku (Q1263307)
Banda-Ndélé (bfl) (bfl, Q3485)	Ubangian (Q3393)
Bandi (bza) (bza, Q3491)	Niger-Kordofanian [Other] (nic) (nic, Q3383)
Bandial (bqj) (bqj, Q3487)	Bak (Q170817)
Bandjalang (bdy) (bdy, Q298038)	Pama–Nyungan (Q3394)
Bangala (bxg) (bxg, Q3498)	Bantu [Other] (bnt) (bnt, Q3314)
Bangandu (bgf) (bgf, Q3493)	Gbaya (gba) (gba, Q309998)
Banggarla (bjb) (bjb, Q343907)	Thura-Yura (Q779923)
Banggi (Q485515)	Sabahan (Q321751)
Bangi (bni) (bni, Q3493)	Bantu [Other] (bnt) (bnt, Q3314)
Bangi–Ntomba (Q80647)	Bangi–Tetela (Q485518)
Bangi–Tetela (Q485518)	Central-Western Bantu (Q11648714)
Bangkok Malay (Q1630670)	Malay (ms) (ms, Q923)
Bangla (bn) (bn, Q961)	Bengali–Assamese (Q417913)
Bangni-Tagin (Q1683773)	Tani (Q321753)
Bangolan (bgj) (bgj, Q3486)	Grassfields Bantu (Q75093)
Bangsa (Q3032640)	Katbol (tmb) (tmb, Q215746)
Bangubangu (bnx) (bnx, Q343833)	Luban (Q453650)
Baniva (bvv) (bvv, Q351519)	Arawakan languages (awd) (awd, Q62675)
Baniwa (bwi) (bwi, Q350173)	Upper Amazon Arawakan (Q789845)
Banjar (bjn) (bjn, Q3315)	Dayak (Q305774)
Banjar (bjn) (bjn, Q3315)	Malayic (Q66262)
Bankagooma (bxw) (bxw, Q343840)	Samogo (Q741000)
Bankal (jjr) (jjr, Q1752369)	Gwak (jgk) (jgk, Q3542)
Bankan Tey Dogon (dbw) (dbw, Q485624)	Dogon (Q123477)
Bankon (abb) (abb, Q3486)	Bantu [Other] (bnt) (bnt, Q3314)
Bannoni (bcm) (bcm, Q288285)	Northwest Solomonic (Q649157)
Bantawa (bap) (bap, Q5650)	Kiranti (Q92214)
Bantayanon (bfx) (bfx, Q1683786)	Central Visayan (Q321737)
Bantenese (Q3117425)	Sundanese (su) (su, Q3400)
Bantik (bnq) (bnq, Q288352)	Sangiric (Q321752)
Bantoanon (bno) (bno, Q2949)	Bisayan (Q158445)
Bantoid (Q80699)	Benue–Congo (Q3325)
Bantu [Other] (bnt) (bnt, Q3314)	Southern Bantoid (Q318315)
Banyjima (pnw) (pnw, Q391383)	Ngayarda (Q1615349)
Banyum (Q289247)	Senegambian (Q170875)
Banyumasan Javanese (Q3321)	Javanese (jv) (jv, Q3354)
Baoulé (bci) (bci, Q3510)	Central Tano (Q165848)
Bapeng (Q1620863)	Tenda (Q321753)
Bara Malagasy (bhr) (bhr, Q211496)	Malagasy (mg) (mg, Q793)
Baraamu (brd) (brd, Q5680)	Baram–Thangmi (Q485831)
Barababaraba (rbp) (rbp, Q485806)	Wemba Wemba (xww) (xww, Q1847281)
Barai (bbb) (bbb, Q485820)	Koiarian (Q1115424)
